site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
HAYES SCHOOL,FALSE,TRUE,1 hour 21 mins,1 hour 9 mins,1 hour 10 mins,1 hour 7 mins,55 mins,71.75,70.00,81.00,69.00,70.00,67.00,55.00,1200937,51.373976,0.018931,TRUE,TRUE,3,1,1,https://pitchfinder.org.uk/map/site/1200937,,,,,,,,,,355,
ROUNDSHAW PARK,FALSE,FALSE,1 hour 7 mins,1 hour 13 mins,54 mins,1 hour 6 mins,51 mins,65.00,70.00,67.00,73.00,54.00,66.00,51.00,6002161,51.352249,-0.134902,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6002161,,,,,,,,,,356,
THE LIFE CENTRE,FALSE,TRUE,1 hour 11 mins,1 hour 2 mins,1 hour 5 mins,1 hour 2 mins,51 mins,65.00,70.00,71.00,62.00,65.00,62.00,51.00,1201189,51.38666,0.034796,TRUE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1201189,,,,,,,,,,357,
COMMONS EXTENSION PITCHES 1-9,FALSE,TRUE,56 mins,1 hour 2 mins,1 hour 9 mins,1 hour 13 mins,1 hour 16 mins,65.00,70.00,56.00,62.00,69.00,73.00,76.00,1042306,51.426723,-0.25456,TRUE,TRUE,18,0,0,https://pitchfinder.org.uk/map/site/1042306,,,,,,,,,,358,
BOSTON MANOR PLAYING FIELD,FALSE,TRUE,1 hour 5 mins,59 mins,1 hour 12 mins,1 hour 4 mins,50 mins,65.00,70.00,65.00,59.00,72.00,64.00,50.00,1042100,51.493106,-0.323927,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/1042100,,,,,,,,,,359,
SOUTHFIELD ROAD PLAYING FIELD,FALSE,TRUE,1 hour 4 mins,59 mins,1 hour 10 mins,1 hour 8 mins,55 mins,65.25,70.00,64.00,59.00,70.00,68.00,55.00,6006670,51.503721,-0.262342,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6006670,,,,,,,,,,360,
SUTTON GRAMMAR SCHOOL SPORTS GROUND,FALSE,TRUE,1 hour 6 mins,52 mins,1 hour 3 mins,1 hour 20 mins,1 hour 17 mins,65.25,70.00,66.00,52.00,63.00,80.00,77.00,6007100,51.345184,-0.218545,TRUE,FALSE,7,0,0,https://pitchfinder.org.uk/map/site/6007100,,,,,,,,,,361,
JOHN ORWELL SPORTS CENTRE,FALSE,TRUE,47 mins,42 mins,45 mins,53 mins,23 mins,46.75,50.00,47.00,42.00,45.00,53.00,23.00,1002306,51.504849,-0.061632,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1002306,,,,Y,,Enquiring,Full size 3G,Emailed 28/07,Ridings V2,99,
WARING PARK,FALSE,TRUE,1 hour 6 mins,55 mins,1 hour 8 mins,1 hour 12 mins,47 mins,65.25,70.00,66.00,55.00,68.00,72.00,47.00,6009204,51.43136,0.110262,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6009204,,,,,,,,,,362,
WEIGALL ROAD PLAYING FIELDS,FALSE,TRUE,58 mins,52 mins,1 hour 14 mins,1 hour 18 mins,34 mins,65.50,70.00,58.00,52.00,74.00,78.00,34.00,6001733,51.456977,0.017015,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6001733,,,,,,,,,,363,
HACKNEY MARSHES CENTRE,TRUE,TRUE,1 hour 2 mins,54 mins,1 hour 20 mins,1 hour 7 mins,52 mins,65.75,70.00,62.00,54.00,80.00,67.00,52.00,6011833,51.552941,-0.025543,TRUE,TRUE,73,0,0,https://pitchfinder.org.uk/map/site/6011833,,,,,,,,,,364,
CLITTERHOUSE PLAYING FIELDS,FALSE,FALSE,1 hour 5 mins,59 mins,1 hour 10 mins,1 hour 9 mins,46 mins,65.75,70.00,65.00,59.00,70.00,69.00,46.00,6007387,51.569017,-0.212427,FALSE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6007387,,,,,,,,,,365,
LONGLANDS RECREATION GROUND,FALSE,TRUE,1 hour 7 mins,55 mins,1 hour 9 mins,1 hour 13 mins,48 mins,66.00,70.00,67.00,55.00,69.00,73.00,48.00,6009152,51.431014,0.092429,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6009152,,,,,,,,,,366,
HANWELL FC (VUK CLUB),FALSE,TRUE,1 hour 6 mins,1 hour 1 min,1 hour 12 mins,1 hour 5 mins,50 mins,66.00,70.00,66.00,61.00,72.00,65.00,50.00,30006317,51.496536,-0.280337,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/30006317,,,,,,,,,,367,
ASHBURTON PLAYING FIELDS,TRUE,TRUE,1 hour 9 mins,1 hour 3 mins,1 hour 9 mins,1 hour 4 mins,38 mins,66.25,70.00,69.00,63.00,69.00,64.00,38.00,6015622,51.385257,-0.054445,FALSE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6015622,,,,,,,,,,368,
THE JOHN FISHER SCHOOL SPORTS GROUND,FALSE,TRUE,1 hour 14 mins,1 hour 11 mins,54 mins,1 hour 6 mins,53 mins,66.25,70.00,74.00,71.00,54.00,66.00,53.00,1200453,51.347339,-0.126128,TRUE,FALSE,1,0,0,https://pitchfinder.org.uk/map/site/1200453,,,,,,,,,,369,
SHEEN COMMON,FALSE,TRUE,1 hour 19 mins,57 mins,1 hour 8 mins,1 hour 1 min,57 mins,66.25,70.00,79.00,57.00,68.00,61.00,57.00,1202539,51.457844,-0.275201,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1202539,,,,,,,,,,370,
BECKTON DISTRICT PARK SOUTH,TRUE,TRUE,1 hour 5 mins,58 mins,1 hour 10 mins,1 hour 12 mins,42 mins,66.25,70.00,65.00,58.00,70.00,72.00,42.00,1202433,51.512036,0.048348,FALSE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/1202433,,,,,,,,,,371,
SHAMROCK SPORTS AND SOCIAL CLUB,FALSE,TRUE,1 hour 6 mins,1 hour 1 min,1 hour 14 mins,1 hour 4 mins,48 mins,66.25,70.00,66.00,61.00,74.00,64.00,48.00,6017686,51.518161,-0.269948,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6017686,,,,,,,,,,372,
NESCOT SPORTS CENTRE,TRUE,TRUE,1 hour 5 mins,53 mins,1 hour 6 mins,1 hour 21 mins,1 hour 25 mins,66.25,70.00,65.00,53.00,66.00,81.00,85.00,1003199,51.342566,-0.244678,TRUE,TRUE,10,0,0,https://pitchfinder.org.uk/map/site/1003199,,,,,,,,,,373,
THE PAVILION SPORT AND LEISURE CLUB,TRUE,TRUE,1 hour 3 mins,53 mins,1 hour 8 mins,1 hour 22 mins,38 mins,66.50,70.00,63.00,53.00,68.00,82.00,38.00,30003517,51.445978,0.063581,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/30003517,,,,,,,,,,374,
GERMAN SCHOOL LONDON,FALSE,TRUE,1 hour 5 mins,1 hour 2 mins,1 hour 12 mins,1 hour 7 mins,1 hour 9 mins,66.50,70.00,65.00,62.00,72.00,67.00,69.00,1201694,51.444804,-0.306538,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1201694,,,,,,,,,,375,
NORTHBROOK PARK,FALSE,FALSE,58 mins,59 mins,1 hour 11 mins,1 hour 19 mins,33 mins,66.75,70.00,58.00,59.00,71.00,79.00,33.00,1202057,51.441957,0.013216,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1202057,,,,,,,,,,376,
PARKFIELDS,FALSE,FALSE,1 hour 10 mins,1 hour 4 mins,1 hour 3 mins,1 hour 10 mins,48 mins,66.75,70.00,70.00,64.00,63.00,70.00,48.00,1202794,51.378997,-0.038596,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1202794,,,,,,,,,,377,
ROUNDSHAW PARK,TRUE,TRUE,1 hour 10 mins,1 hour 16 mins,54 mins,1 hour 7 mins,52 mins,66.75,70.00,70.00,76.00,54.00,67.00,52.00,6002148,51.353616,-0.123229,FALSE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/6002148,,,,,,,,,,378,
LONDON MARATHON SPORTS GROUND,FALSE,TRUE,1 hour 0 mins,54 mins,1 hour 15 mins,1 hour 19 mins,35 mins,67.00,70.00,60.00,54.00,75.00,79.00,35.00,6006432,51.436483,0.037225,TRUE,FALSE,4,0,0,https://pitchfinder.org.uk/map/site/6006432,,,,,,,,,,379,
NORMAN PARK RECREATION GROUND,TRUE,TRUE,1 hour 12 mins,1 hour 6 mins,1 hour 6 mins,1 hour 4 mins,52 mins,67.00,70.00,72.00,66.00,66.00,64.00,52.00,30007832,51.388319,0.026777,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/30007832,,,,,,,,,,380,
CUMNOR HOUSE SCHOOL SPORTS GROUND,FALSE,TRUE,1 hour 14 mins,1 hour 21 mins,50 mins,1 hour 3 mins,51 mins,67.00,70.00,74.00,81.00,50.00,63.00,51.00,30006360,51.346382,-0.112453,TRUE,FALSE,11,0,0,https://pitchfinder.org.uk/map/site/30006360,,,,,,,,,,381,
SWAMINARAYAN SPORTS WORLD,FALSE,TRUE,1 hour 4 mins,57 mins,1 hour 15 mins,1 hour 12 mins,47 mins,67.00,70.00,64.00,57.00,75.00,72.00,47.00,6014630,51.568705,0.024557,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6014630,,,,,,,,,,382,
EX BLUES CLUB,FALSE,TRUE,1 hour 10 mins,1 hour 4 mins,1 hour 11 mins,1 hour 4 mins,44 mins,67.25,70.00,70.00,64.00,71.00,64.00,44.00,6010477,51.378258,-0.005091,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6010477,,,,,,,,,,383,
ST PAULS SPORTS GROUND,TRUE,TRUE,50 mins,43 mins,1 hour 9 mins,1 hour 5 mins,20 mins,56.75,60.00,50.00,43.00,69.00,65.00,20.00,30004216,51.506232,-0.040104,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/30004216,,,,Y,,Enquiring,Full size 3G,Emailed 28/07,Ridings V2,181,
LEYTON JUBILEE PARK,FALSE,TRUE,1 hour 5 mins,55 mins,1 hour 17 mins,1 hour 12 mins,48 mins,67.25,70.00,65.00,55.00,77.00,72.00,48.00,1202176,51.563996,-0.02511,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1202176,,,,,,,,,,384,
WANSTEAD FLATS (HARROW ROAD),TRUE,TRUE,1 hour 2 mins,56 mins,1 hour 19 mins,1 hour 12 mins,44 mins,67.25,70.00,62.00,56.00,79.00,72.00,44.00,6021252,51.560508,0.016369,TRUE,TRUE,12,0,0,https://pitchfinder.org.uk/map/site/6021252,,,,,,,,,,385,
WANSTEAD FLATS (ALDERSBROOK ROAD),FALSE,TRUE,1 hour 5 mins,58 mins,1 hour 12 mins,1 hour 14 mins,50 mins,67.25,70.00,65.00,58.00,72.00,74.00,50.00,6021080,51.560898,0.035846,TRUE,TRUE,13,0,0,https://pitchfinder.org.uk/map/site/6021080,,,,,,,,,,386,
PALEWELL COMMON,FALSE,TRUE,1 hour 14 mins,1 hour 9 mins,1 hour 7 mins,1 hour 0 mins,1 hour 11 mins,67.50,70.00,74.00,69.00,67.00,60.00,71.00,1202538,51.458477,-0.259777,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1202538,,,,,,,,,,387,
BOSTON MANOR PARK,FALSE,TRUE,1 hour 7 mins,1 hour 5 mins,1 hour 7 mins,1 hour 11 mins,57 mins,67.50,70.00,67.00,65.00,67.00,71.00,57.00,30008537,51.489866,-0.318789,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/30008537,,,,,,,,,,388,
CHARLTON PARK,TRUE,TRUE,1 hour 5 mins,58 mins,1 hour 15 mins,1 hour 13 mins,39 mins,67.75,70.00,65.00,58.00,75.00,73.00,39.00,6001616,51.481501,0.044362,TRUE,TRUE,9,0,0,https://pitchfinder.org.uk/map/site/6001616,,,,,,,,,,389,
MILLFIELDS PARK,TRUE,FALSE,1 hour 14 mins,52 mins,1 hour 18 mins,1 hour 7 mins,42 mins,67.75,70.00,74.00,52.00,78.00,67.00,42.00,6011832,51.559518,-0.049153,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6011832,,,,,,,,,,390,
SURBITON TOWN SPORTS CLUB,FALSE,TRUE,59 mins,1 hour 22 mins,1 hour 0 mins,1 hour 10 mins,1 hour 10 mins,67.75,70.00,59.00,82.00,60.00,70.00,70.00,1002401,51.3767,-0.268719,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1002401,,,,,,,,,,391,
KING EDWARD VII RECREATION GROUND,FALSE,FALSE,1 hour 6 mins,1 hour 4 mins,1 hour 11 mins,1 hour 11 mins,56 mins,68.00,70.00,66.00,64.00,71.00,71.00,56.00,1042290,51.538626,-0.230716,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1042290,,,,,,,,,,392,
WANSTEAD FLATS (CAPEL ROAD),FALSE,TRUE,1 hour 5 mins,1 hour 1 min,1 hour 13 mins,1 hour 13 mins,44 mins,68.00,70.00,65.00,61.00,73.00,73.00,44.00,20001045,51.555475,0.03233,TRUE,TRUE,17,0,0,https://pitchfinder.org.uk/map/site/20001045,,,,,,,,,,393,
SAVAGE GARDENS,TRUE,FALSE,1 hour 7 mins,59 mins,1 hour 13 mins,1 hour 14 mins,42 mins,68.25,70.00,67.00,59.00,73.00,74.00,42.00,1202843,51.510507,0.057672,FALSE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/1202843,,,,,,,,,,394,
HARRIER CENTRE,FALSE,TRUE,53 mins,1 hour 18 mins,1 hour 14 mins,1 hour 8 mins,1 hour 5 mins,68.25,70.00,53.00,78.00,74.00,68.00,65.00,1011505,51.358266,-0.265106,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1011505,,,,,,,,,,395,
WORMWOOD SCRUBS PARK,FALSE,FALSE,1 hour 10 mins,1 hour 3 mins,1 hour 13 mins,1 hour 8 mins,49 mins,68.50,70.00,70.00,63.00,73.00,68.00,49.00,6003225,51.521637,-0.234068,TRUE,TRUE,18,0,0,https://pitchfinder.org.uk/map/site/6003225,,,,,,,,,,396,
GREY COURT SCHOOL,TRUE,TRUE,1 hour 8 mins,1 hour 11 mins,1 hour 1 min,1 hour 14 mins,1 hour 12 mins,68.50,70.00,68.00,71.00,61.00,74.00,72.00,1007944,51.438066,-0.311924,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/1007944,,,,,,,,,,397,
NORTH ACTON PLAYING FIELD,FALSE,TRUE,1 hour 10 mins,1 hour 6 mins,1 hour 13 mins,1 hour 5 mins,48 mins,68.50,70.00,70.00,66.00,73.00,65.00,48.00,6006507,51.52082,-0.271339,FALSE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6006507,,,,,,,,,,398,
THE LANGLEY ANNEXE,TRUE,TRUE,1 hour 14 mins,1 hour 7 mins,1 hour 10 mins,1 hour 4 mins,48 mins,68.75,70.00,74.00,67.00,70.00,64.00,48.00,6006466,51.390873,-0.013673,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/6006466,,,,,,,,,,399,
ELTHAM COLLEGE,FALSE,TRUE,1 hour 0 mins,54 mins,1 hour 15 mins,1 hour 26 mins,35 mins,68.75,70.00,60.00,54.00,75.00,86.00,35.00,1201169,51.437969,0.038644,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/1201169,,,,,,,,,,400,
HERVEY ROAD PLAYING FIELDS,FALSE,TRUE,1 hour 0 mins,1 hour 5 mins,1 hour 15 mins,1 hour 15 mins,35 mins,68.75,70.00,60.00,65.00,75.00,75.00,35.00,30008672,51.472268,0.029569,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/30008672,,,,,,,,,,401,
MOTTINGHAM SPORTS GROUND,TRUE,TRUE,1 hour 3 mins,58 mins,1 hour 12 mins,1 hour 22 mins,38 mins,68.75,70.00,63.00,58.00,72.00,82.00,38.00,30007830,51.433562,0.039421,TRUE,TRUE,10,0,0,https://pitchfinder.org.uk/map/site/30007830,,,,,,,,,,402,
CONEY HALL FOOTBALL CLUB,TRUE,TRUE,1 hour 14 mins,1 hour 6 mins,1 hour 11 mins,1 hour 4 mins,47 mins,68.75,70.00,74.00,66.00,71.00,64.00,47.00,6006430,51.376264,0.003258,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6006430,,,,,,,,,,403,
ROYAL ARTILLERY BARRACKS,FALSE,TRUE,1 hour 10 mins,58 mins,1 hour 10 mins,1 hour 17 mins,39 mins,68.75,70.00,70.00,58.00,70.00,77.00,39.00,6006954,51.484286,0.059979,TRUE,FALSE,9,0,0,https://pitchfinder.org.uk/map/site/6006954,,,,,,,,,,404,
WHITEFOOT PLAYING FIELD,TRUE,TRUE,1 hour 13 mins,1 hour 0 mins,1 hour 10 mins,1 hour 14 mins,47 mins,69.25,70.00,73.00,60.00,70.00,74.00,47.00,1202002,51.43094,0.001415,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1202002,,,,,,,,,,405,
JOHN RUSKIN COLLEGE,FALSE,TRUE,1 hour 17 mins,1 hour 8 mins,1 hour 5 mins,1 hour 7 mins,54 mins,69.25,70.00,77.00,68.00,65.00,67.00,54.00,1200337,51.351059,-0.042911,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1200337,,,,,,,,,,406,
GIBBONS RECREATION GROUND,TRUE,TRUE,1 hour 13 mins,1 hour 2 mins,1 hour 14 mins,1 hour 8 mins,48 mins,69.25,70.00,73.00,62.00,74.00,68.00,48.00,6007548,51.548512,-0.257345,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6007548,,,,,,,,,,407,
BETHLEM ROYAL HOSPITAL,TRUE,TRUE,1 hour 20 mins,1 hour 13 mins,1 hour 0 mins,1 hour 5 mins,55 mins,69.50,70.00,80.00,73.00,60.00,65.00,55.00,1014018,51.38092,-0.029767,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1014018,,,,,,,,,,408,
HAWES DOWN PRIMARY SCHOOL,FALSE,FALSE,1 hour 12 mins,1 hour 5 mins,1 hour 12 mins,1 hour 9 mins,46 mins,69.50,70.00,72.00,65.00,72.00,69.00,46.00,30004092,51.37705,-0.004615,TRUE,FALSE,2,0,0,https://pitchfinder.org.uk/map/site/30004092,,,,,,,,,,409,
OLD DUNSTONIAN SPORTS CLUB,TRUE,TRUE,1 hour 11 mins,1 hour 5 mins,1 hour 10 mins,1 hour 13 mins,45 mins,69.75,70.00,71.00,65.00,70.00,73.00,45.00,1036624,51.389972,-0.015709,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1036624,,,,,,,,,,410,
CUMBERLAND SCHOOL,FALSE,TRUE,1 hour 13 mins,1 hour 1 min,1 hour 9 mins,1 hour 16 mins,41 mins,69.75,70.00,73.00,61.00,69.00,76.00,41.00,1010009,51.521015,0.034427,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1010009,,,,,,,,,,411,
LAMMAS SCHOOL AND SIXTH FORM,FALSE,TRUE,1 hour 5 mins,1 hour 2 mins,1 hour 19 mins,1 hour 13 mins,50 mins,69.75,70.00,65.00,62.00,79.00,73.00,50.00,1201461,51.565983,-0.02563,TRUE,FALSE,1,0,0,https://pitchfinder.org.uk/map/site/1201461,,,,,,,,,,412,
CARDINAL VAUGHAN MEMORIAL RC SCHOOL PLAYING FIELDS,FALSE,TRUE,1 hour 9 mins,1 hour 0 mins,1 hour 19 mins,1 hour 11 mins,1 hour 13 mins,69.75,70.00,69.00,60.00,79.00,71.00,73.00,1040112,51.45779,-0.344357,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1040112,,,,,,,,,,413,
PLASHET PARK,FALSE,TRUE,1 hour 6 mins,56 mins,1 hour 22 mins,1 hour 16 mins,40 mins,70.00,70.00,66.00,56.00,82.00,76.00,40.00,30004384,51.542022,0.044205,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/30004384,,,,,,,,,,414,
AVERY HILL PARK,FALSE,TRUE,1 hour 10 mins,58 mins,1 hour 12 mins,1 hour 21 mins,50 mins,70.25,70.00,70.00,58.00,72.00,81.00,50.00,1202472,51.448138,0.073051,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1202472,,,,,,,,,,415,
FOXWOOD SPORTS GROUND,TRUE,TRUE,1 hour 15 mins,1 hour 1 min,1 hour 16 mins,1 hour 9 mins,53 mins,70.25,70.00,75.00,61.00,76.00,69.00,53.00,6021666,51.52459,-0.296315,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6021666,,,,,,,,,,416,
HORN PARK (COLFEIAN GROUNDS LTD),FALSE,TRUE,1 hour 8 mins,59 mins,1 hour 12 mins,1 hour 23 mins,34 mins,70.50,70.00,68.00,59.00,72.00,83.00,34.00,30003424,51.453585,0.01916,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/30003424,,,,,,,,,,417,
OLD WILSONIANS SPORTS GROUND,TRUE,TRUE,1 hour 16 mins,1 hour 10 mins,1 hour 9 mins,1 hour 7 mins,55 mins,70.50,70.00,76.00,70.00,69.00,67.00,55.00,6006869,51.378165,-0.001405,TRUE,TRUE,16,0,0,https://pitchfinder.org.uk/map/site/6006869,,,,,,,,,,418,
CHRIST THE KING ST MARYS SIXTH FORM COLLEGE,FALSE,TRUE,1 hour 13 mins,1 hour 2 mins,1 hour 9 mins,1 hour 18 mins,46 mins,70.50,70.00,73.00,62.00,69.00,78.00,46.00,1201244,51.42075,0.098647,TRUE,FALSE,1,0,0,https://pitchfinder.org.uk/map/site/1201244,,,,,,,,,,419,
WEST HAM PARK,TRUE,TRUE,1 hour 5 mins,1 hour 0 mins,1 hour 21 mins,1 hour 18 mins,45 mins,71.00,70.00,65.00,60.00,81.00,78.00,45.00,1202404,51.538782,0.021122,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1202404,,,,,,,,,,420,
HAYES PRIMARY SCHOOL,FALSE,FALSE,1 hour 24 mins,1 hour 8 mins,1 hour 8 mins,1 hour 5 mins,1 hour 2 mins,71.25,70.00,84.00,68.00,68.00,65.00,62.00,30005841,51.378395,0.023577,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/30005841,,,,,,,,,,421,
BLACKHEATH WANDERERS SPORTS CLUB,TRUE,TRUE,1 hour 7 mins,1 hour 1 min,1 hour 11 mins,1 hour 27 mins,34 mins,71.50,70.00,67.00,61.00,71.00,87.00,34.00,6020656,51.45576,0.020651,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/6020656,,,,,,,,,,422,
FLAMINGO PARK SPORTS GROUND,TRUE,TRUE,1 hour 11 mins,59 mins,1 hour 13 mins,1 hour 24 mins,52 mins,71.75,70.00,71.00,59.00,73.00,84.00,52.00,6006991,51.429584,0.081342,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6006991,,,,,,,,,,423,
JOHN COOPER GROUND (OLD BROMLEIANS FC),TRUE,TRUE,1 hour 14 mins,1 hour 11 mins,1 hour 12 mins,1 hour 10 mins,49 mins,71.75,70.00,74.00,71.00,72.00,70.00,49.00,6006521,51.379279,0.054167,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6006521,,,,,,,,,,424,
POPLAR GROVE CENTRE,FALSE,TRUE,1 hour 16 mins,1 hour 9 mins,1 hour 15 mins,1 hour 8 mins,49 mins,72.00,70.00,76.00,69.00,75.00,68.00,49.00,1202685,51.562838,-0.26228,TRUE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1202685,,,,,,,,,,425,
WICKHAM PARK SPORTS CLUB,TRUE,TRUE,1 hour 14 mins,1 hour 8 mins,1 hour 17 mins,1 hour 10 mins,48 mins,72.25,70.00,74.00,68.00,77.00,70.00,48.00,6000033,51.379407,-0.00148,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6000033,,,,,,,,,,426,
PETTS WOOD FC,TRUE,TRUE,1 hour 19 mins,1 hour 4 mins,1 hour 16 mins,1 hour 10 mins,43 mins,72.25,70.00,79.00,64.00,76.00,70.00,43.00,30003635,51.372846,0.025519,TRUE,TRUE,15,0,0,https://pitchfinder.org.uk/map/site/30003635,,,,,,,,,,427,
ELTHAM PARK SOUTH,FALSE,TRUE,1 hour 6 mins,59 mins,1 hour 18 mins,1 hour 26 mins,42 mins,72.25,70.00,66.00,59.00,78.00,86.00,42.00,6001680,51.455827,0.067783,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6001680,,,,,,,,,,428,
ORCHARD PARK HIGH SCHOOL,FALSE,TRUE,1 hour 23 mins,1 hour 16 mins,1 hour 9 mins,1 hour 3 mins,1 hour 0 mins,72.75,70.00,83.00,76.00,69.00,63.00,60.00,1200447,51.383589,-0.038736,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1200447,,,,,,,,,,429,
FOX WOOD NATURE RESERVE,TRUE,TRUE,1 hour 16 mins,1 hour 8 mins,1 hour 17 mins,1 hour 10 mins,#ERROR!,72.75,70.00,76.00,68.00,77.00,70.00,#ERROR!,30007970,51.524559,-0.297282,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/30007970,,,,,,,,,,430,
BLACKFEN SCHOOL FOR GIRLS,FALSE,TRUE,1 hour 10 mins,1 hour 4 mins,1 hour 17 mins,1 hour 21 mins,52 mins,73.00,70.00,70.00,64.00,77.00,81.00,52.00,1203422,51.449277,0.111066,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/1203422,,,,,,,,,,431,
THE HALLEY ACADEMY,TRUE,TRUE,1 hour 8 mins,1 hour 1 min,1 hour 18 mins,1 hour 27 mins,42 mins,73.50,70.00,68.00,61.00,78.00,87.00,42.00,6016945,51.468982,0.041241,TRUE,TRUE,7,0,0,https://pitchfinder.org.uk/map/site/6016945,,,,,,,,,,432,
TRINITY SANDERSTEAD SPORTS AND SOCIAL CLUB,FALSE,TRUE,1 hour 11 mins,1 hour 12 mins,1 hour 19 mins,1 hour 12 mins,58 mins,73.50,70.00,71.00,72.00,79.00,72.00,58.00,30002773,51.33071,-0.06788,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/30002773,,,,,,,,,,433,
COOPERS SCHOOL,TRUE,TRUE,1 hour 16 mins,1 hour 4 mins,1 hour 29 mins,1 hour 6 mins,45 mins,73.75,70.00,76.00,64.00,89.00,66.00,45.00,1201205,51.407743,0.073607,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/1201205,,,,,,,,,,434,
CHISLEHURST RECREATION GROUND,TRUE,TRUE,1 hour 15 mins,1 hour 16 mins,1 hour 18 mins,1 hour 7 mins,44 mins,74.00,70.00,75.00,76.00,78.00,67.00,44.00,6002331,51.418819,0.062586,FALSE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6002331,,,,,,,,,,435,
