site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
SYDENHAM HIGH SCHOOL GDST SPORTS GROUND,FALSE,TRUE,50 mins,44 mins,1 hour 0 mins,56 mins,29 mins,52.50,50.00,50.00,44.00,60.00,56.00,29.00,1200678,51.424256,-0.030263,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1200678,,,,,,,,,,166,
SOUTH PARK (FULHAM),FALSE,TRUE,44 mins,45 mins,1 hour 4 mins,57 mins,50 mins,52.50,50.00,44.00,45.00,64.00,57.00,50.00,6003220,51.468788,-0.19509,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6003220,,,,,,,,,,167,
GIBRALTAR RECREATION GROUND,FALSE,TRUE,41 mins,55 mins,53 mins,1 hour 1 min,53 mins,52.50,50.00,41.00,55.00,53.00,61.00,53.00,6002929,51.347306,-0.257567,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6002929,,,,,,,,,,168,
CHEAM SPORTS CLUB,FALSE,TRUE,1 hour 6 mins,38 mins,41 mins,1 hour 6 mins,1 hour 8 mins,52.75,50.00,66.00,38.00,41.00,66.00,68.00,1036183,51.353714,-0.218832,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/1036183,,,,,,,,,,169,
KING GEORGES PLAYING FIELDS (CHESSINGTON),TRUE,TRUE,49 mins,53 mins,50 mins,1 hour 0 mins,56 mins,53.00,50.00,49.00,53.00,50.00,60.00,56.00,1202984,51.371622,-0.284109,TRUE,TRUE,7,0,0,https://pitchfinder.org.uk/map/site/1202984,,,,,,,,,,170,
MOORMEAD RECREATION,FALSE,FALSE,46 mins,50 mins,1 hour 2 mins,55 mins,47 mins,53.25,50.00,46.00,50.00,62.00,55.00,47.00,1023148,51.454228,-0.326337,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1023148,,,,,,,,,,171,
CHEAM RECREATION GROUND,FALSE,TRUE,46 mins,49 mins,48 mins,1 hour 12 mins,1 hour 8 mins,53.75,50.00,46.00,49.00,48.00,72.00,68.00,6002141,51.362332,-0.222721,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6002141,,,,,,,,,,172,
CROYDON ROAD RECREATION GROUND (KESLEY PARK),TRUE,TRUE,1 hour 4 mins,52 mins,53 mins,47 mins,37 mins,54.00,50.00,64.00,52.00,53.00,47.00,37.00,6002355,51.403498,-0.031736,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/6002355,,,,,,,,,,173,
BARN ELMS SPORTS TRUST,TRUE,TRUE,57 mins,51 mins,51 mins,57 mins,49 mins,54.00,50.00,57.00,51.00,51.00,57.00,49.00,1013939,51.474828,-0.235195,TRUE,TRUE,11,0,0,https://pitchfinder.org.uk/map/site/1013939,,,,,,,,,,174,
CHISWICK CRICKET CLUB,TRUE,TRUE,56 mins,49 mins,56 mins,55 mins,51 mins,54.00,50.00,56.00,49.00,56.00,55.00,51.00,1039092,51.479135,-0.258489,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1039092,,,,,,,,,,175,
